target,model,best_RSA,best_CKA
TVSD/V1,ResNet152,0.19771235267212386,0.3619720740570742
TVSD/V4,ResNet152,0.23168966769100124,0.28096972806456627
TVSD/IT,ResNet152,0.2232337641820274,0.25185589594795627
TVSD/V1,Qwen3-VL,0.10546793599965602,0.15869378231193898
TVSD/V4,Qwen3-VL,0.06814962709301486,0.10592898869356562
TVSD/IT,Qwen3-VL,0.08646451340874795,0.12883688998711623
EEG/occipital_parietal,ResNet152,0.14143157669257356,0.14988317300581394
EEG/occipital_parietal,Qwen3-VL,0.12732860088313996,0.05609335535032887
NSD/V1v,ResNet152,0.22253451065581956,0.3065415726246627
NSD/V2v,ResNet152,0.19733306918493052,0.26231219147603196
NSD/V3v,ResNet152,0.1484586546355592,0.19686936683936884
NSD/hV4,ResNet152,0.15154961590904234,0.17716185339584167
NSD/FFA-1,ResNet152,0.17915088033792115,0.17947760631428927
NSD/VWFA-1,ResNet152,0.18427050315028928,0.15607787121315891
NSD/PPA,ResNet152,0.2431661606826236,0.24505167146622897
NSD/OPA,ResNet152,0.21654119722306883,0.19713734560789417
NSD/EBA,ResNet152,0.22255673176320487,0.2259285744427201
NSD/V1v,Qwen3-VL,0.16942486165641318,0.22845189901243712
NSD/V2v,Qwen3-VL,0.12585493306705134,0.1663811240961309
NSD/V3v,Qwen3-VL,0.11395941761916367,0.17054294526888603
NSD/hV4,Qwen3-VL,0.11444201307871009,0.16561937275205582
NSD/FFA-1,Qwen3-VL,0.13788230692353298,0.172206735510264
NSD/VWFA-1,Qwen3-VL,0.1387161240508259,0.1494081309745226
NSD/PPA,Qwen3-VL,0.18133336766828534,0.25497159604511965
NSD/OPA,Qwen3-VL,0.15671024008047063,0.19830348039055878
NSD/EBA,Qwen3-VL,0.15674302555654512,0.21683418905961252
